9,14
7,94
6,22
10,65
10,16
5,48
10,21
6,66
6,72
10,18
8,84
6,04
7,41
5,54
6,77
7,59
7,38
6,97
7,48
11,88
6,76
5,64
5,95
5,96
6,12
12,88
5,56
5,98
5,76
6,27
6,61
6,46
6,46
6,26
7,04
6,65
11,86
7,48
7,87
6,48
7,67
11,44
9,76
7,11
7,84
6,67
7,2
6
7,99
5,99
5,83
7,97
9,55
6,23
9,27
6,63
10,36
6,11
6,64
6,84
5,53
7,73
5,48
5,12
9,42
9,82
9,61
9,65
6,71
9,77
11,47
6,66
5,61
6,14
5,81
6,45
9,32
7,28
6,06
7,51
8,67
8,6
5,74
8,06
5,29
5,38
6,44
9,71
6,89
9,08
9,37
7,61
5,61
9,73
11,54
11,62
9,06
6,91
5,57
11,45
6,57
7,57
10,34
5,98
10,21
6,25
10,97
10,26
10,61
9,52
10,38
7,09
10,93
11,47
11,39
6,36
6,3
8,97
5,93
9,76
8,26
9,89
6,21
5,97
9,94
7,34
9,84
11,27
10,27
10,82
10,05
8,51
5,8
11,68
11,36
12,44
6,59
11,39
6,64
11,67
11,62
12,6
11,91
6,85
7,46
5,67
6,49
7,53
11,93
6,26
10,8
6,73
6,78
5,92
7,3
11,02
6,19
7,76
6,16
7,31
12,08
6,5
7,22
7,09
7,27
11,24
10,64
6,04
7,51
11,52
11,1
6,38
6,2
9,48
11,06
5,91
6,69
8,16
8,52
9,85
13,26
7,02
7,02
11,67
7,39
6,82
7,12
8,43
8,56
6,62
12,48
8,13
5,6
13,47
7,75
6,52
8,31
6,98
6,35
7,87
14,37
6,91
6,78
6,85
8,79
13,88
9,19
13,86
8,68
6,26
7,3
17,85
13,6
5,83
8,36
9,2
6,07
5,75
12,26
15,11
15,98
5,4
7,51
7,62
7,05
5,75
9,13
7,96
6,58
12,72
12,66
7,16
12,89
5,46
6,57
10,12
11,25
9,2
9,11
7,65
11,77
6,31
10,98
6,7
12,18
11,65
6,06
11,1
6,34
7,07
12
5,92
12,3
5,6
11,82
12,39
11,73
11,77
6,43
6,17
10,79
10,73
8,15
7,83
7,41
10,88
7,21
8,66
14,04
11,06
11,1
12,53
7,25
6,98
10,56
7,48
7,42
7,65
6,16
7,7
5,87
5,12
7,69
6,06
7,67
7,16
6,28
7,13
11,59
7,25
11,27
11,63
10,81
11,35
5,91
6,22
12,11
11,55
5,8
6,91
6,99
6,03
13,39
13,09
6,64
6,46
5,85
7,07
5,72
6,29
5,61
7,37
12,96
6,75
11,24
8,47
9,53
6,54
5,58
9,23
10,41
6,08
6,48
6,5
